date,category,income,expenses,balance,transaction_type
2024-07-10,transaction cost,,-7.0,403.17,Transaction Cost
2024-07-08,supermarket expenses,,-285.0,390.17,Merchant Purchase
2024-07-08,food,,-60.0,675.17,Paybill / Utility Payment
2024-07-08,supermarket expenses,,-60.0,465.17,Merchant Purchase
2024-07-07,transaction cost,,-7.0,580.17,Transaction Cost
2024-07-07,airtime,,-20.0,718.17,Airtime / Data
2024-07-07,airtime,,-50.0,738.17,Airtime / Data
2024-07-06,other expenses,,-5.0,799.17,Transaction Cost
2024-07-06,personal expenditures,,-110.0,804.17,Paybill / Utility Payment
2024-07-06,airtime,,-10.0,154.17,Paybill / Utility Payment
2024-07-06,airtime,,-30.0,164.17,Unclassified
2024-07-05,friends,,-50.0,194.17,Peer Transfer
2024-07-05,transport,,-30.0,244.17,Peer Transfer
2024-07-05,airtime,,-50.0,274.17,Airtime / Data
2024-07-05,family,320.0,,324.17,Other
2024-07-05,friends,,-50.0,4.17,Peer Transfer
2024-07-04,transport,,-50.0,24.17,Peer Transfer
2024-07-04,transport,,-70.0,74.17,Peer Transfer
2024-07-04,family,110.0,,144.17,Other
2024-07-04,transport,,-70.0,34.17,Unclassified
2024-07-04,savings withdrawal,100.0,,104.17,Other
2024-07-03,transport,,-50.0,4.17,Unclassified
2024-07-03,savings withdrawal,50.0,,54.17,Other
2024-07-03,food,,-50.0,4.17,Unclassified
2024-07-03,transport,,-30.0,54.17,Paybill / Utility Payment
2024-07-03,food,,-120.0,84.17,Merchant Purchase
2024-07-03,personal expenditures,,-160.0,204.17,Merchant Purchase
2024-07-03,family,200.0,,364.17,Other
2024-07-03,airtime,,-10.0,164.17,Transaction Cost
2024-07-03,personal expenditures,,-750.0,174.17,Paybill / Utility Payment
2024-07-03,savings withdrawal,500.0,,924.17,Other
2024-07-03,personal expenditures,,-100.0,424.17,Paybill / Utility Payment
2024-07-03,personal expenditures,,-150.0,524.17,Merchant Purchase
2024-07-03,other expenses,,-100.0,674.17,Paybill / Utility Payment
2024-07-03,other expenses,,-50.0,774.17,Paybill / Utility Payment
2024-07-03,transaction cost,,-7.0,824.17,Transaction Cost
2024-07-03,other expenses,,-200.0,831.17,Peer Transfer
2024-07-03,other expenses,,-50.0,1031.17,Small Business Payment
2024-07-03,transport,,-50.0,946.17,Peer Transfer
2024-07-02,airtime,,-20.0,996.17,Paybill / Utility Payment
2024-07-02,other expenses,,-20.0,1016.17,Paybill / Utility Payment
2024-07-01,food,,-50.0,1036.17,Merchant Purchase
2024-07-01,airtime,,-20.0,1086.17,Paybill / Utility Payment
2024-07-01,food,,-55.0,1106.17,Peer Transfer
2024-07-01,airtime,,-10.0,1161.17,Paybill / Utility Payment
2024-07-01,family,1100.0,,1171.17,Other
2024-06-30,supermarket expenses,,-35.0,71.17,Merchant Purchase
2024-06-29,airtime,,-10.0,106.17,Paybill / Utility Payment
2024-06-29,transaction cost,,-7.0,116.17,Transaction Cost
2024-06-29,food,,-130.0,123.17,Peer Transfer
2024-06-29,transaction cost,,-7.0,253.17,Transaction Cost
2024-06-29,friends,,-200.0,260.17,Peer Transfer
2024-06-29,savings withdrawal,300.0,,460.17,Other
2024-06-29,airtime,,-10.0,160.17,Other
2024-06-29,friends,,-50.0,170.17,Peer Transfer
2024-06-29,transaction cost,,-7.0,220.17,Transaction Cost
2024-06-29,friends,,-400.0,227.17,Peer Transfer
2024-06-29,family,500.0,,627.17,Other
2024-06-29,transaction cost,,-7.0,127.17,Transaction Cost
2024-06-29,personal expenditures,,-400.0,134.17,Peer Transfer
2024-06-29,savings withdrawal,100.0,,534.17,Other
2024-06-29,transport,,-100.0,434.17,Peer Transfer
2024-06-29,airtime,,-20.0,534.17,Unclassified
2024-06-29,savings withdrawal,500.0,,554.17,Other
2024-06-29,airtime,,-10.0,54.17,Paybill / Utility Payment
2024-06-29,transaction cost,,-7.0,64.17,Transaction Cost
2024-06-29,friends,,-229.0,71.17,Peer Transfer
2024-06-29,savings withdrawal,200.0,,300.17,Other
2024-06-29,airtime,,-10.0,100.17,Airtime / Data
2024-06-28,airtime,,-10.0,110.17,Other
2024-06-28,friends,,-70.0,120.17,Peer Transfer
2024-06-28,transaction cost,,-7.0,190.17,Transaction Cost
2024-06-28,friends,,-480.0,197.17,Peer Transfer
2024-06-28,airtime,,-25.0,677.17,Paybill / Utility Payment
2024-06-28,transport,,-30.0,702.17,Peer Transfer
2024-06-28,airtime,,-20.0,732.17,Unclassified
2024-06-28,transport,,-50.0,752.17,Peer Transfer
2024-06-28,airtime,,-10.0,802.17,Paybill / Utility Payment
2024-06-28,airtime,,-10.0,812.17,Paybill / Utility Payment
2024-06-28,transaction cost,,-7.0,822.17,Transaction Cost
2024-06-28,sent to friends,,-200.0,829.17,Peer Transfer
2024-06-28,supermarket expenses,,-10.0,1029.17,Merchant Purchase
2024-06-27,transport,,-50.0,1039.17,Peer Transfer
2024-06-27,family,100.0,,1089.17,Other
2024-06-27,airtime,,-25.0,989.17,Unclassified
2024-06-27,electricity,,-25.0,1014.17,Paybill / Utility Payment
2024-06-27,other expenses,,-20.0,1039.17,Paybill / Utility Payment
2024-06-27,supermarket expenses,,-523.0,1059.17,Merchant Purchase
2024-06-27,family,600.0,,1582.17,Other
2024-06-27,transport,,-50.0,982.17,Peer Transfer
2024-06-26,supermarket expenses,,-100.0,1032.17,Merchant Purchase
2024-06-26,airtime,,-10.0,1132.17,Paybill / Utility Payment
2024-06-26,airtime,,-10.0,1142.17,Paybill / Utility Payment
2024-06-26,transport,,-50.0,1152.17,Peer Transfer
2024-06-26,supermarket expenses,,-295.0,1202.17,Merchant Purchase
2024-06-26,family,310.0,,1497.17,Other
2024-06-26,transaction cost,,-29.0,1187.17,Other
2024-06-26,other expenses,,-2000.0,1216.17,Agent Cash Withdrawal
2024-06-26,other expenses,,-300.0,3216.17,Merchant Purchase
2024-06-26,airtime,,-20.0,3516.17,Airtime / Data
2024-06-26,transport,,-50.0,3536.17,Peer Transfer
2024-06-26,family,150.0,,3586.17,Other
2024-06-26,airtime,,-20.0,3436.17,Unclassified
2024-06-25,airtime,,-10.0,3456.17,Airtime / Data
2024-06-25,airtime,,-20.0,3466.17,Airtime / Data
2024-06-25,airtime,,-30.0,3486.17,Paybill / Utility Payment
2024-06-25,transport,,-50.0,3516.17,Peer Transfer
2024-06-25,other expenses,,-50.0,3566.17,Small Business Payment
2024-06-25,family,1500.0,,3616.17,Other
2024-06-25,food,,-80.0,2116.17,Peer Transfer
2024-06-25,airtime,,-20.0,2196.17,Paybill / Utility Payment
2024-06-25,other expenses,,-30.0,2216.17,Peer Transfer
2024-06-25,food,,-30.0,2246.17,Small Business Payment
2024-06-25,savings deposit,,-1500.0,2276.17,Other
2024-06-25,transport,,-50.0,3776.17,Peer Transfer
